"","X.1","X","Tm","Player","Age","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.",".","OWS","DWS","WS","WS.48","..1","OBPM","DBPM","BPM","VORP","OWS.48","DWS.48","Shot.","Player.ID","Team.Mar","Team.MP","Team.Gm","Year.3PAr","Team.TS.","Tm.USG","Tm.TS.W.O.Plyr","Reb.Vers","Defense","Val.Shot","Offense","MPG...Int","RAW.SPM","X.Min","RAW.Contrib","Tm.Sum","Tm.Adj","BPM.1","StdErr","Contrib","VORP.1","Reb.Vers.1","Val.Shot.1","Offense.1","Defense.1","MPG","Raw.OBPM","Contrib.1","Tm.Ortg","Tm.Sum.1","Tm.Adj.1","Tm.DRtg","OBPM.1","OStdErr","Ocontrib","OVORP","DBPM.1","DStdErr","Dcontrib","DVORP","Sum.SPM","X.Min.1","MPG.1","ReMPG","BPM.2","Contrib.2","VORP.2","VORP.Gm","O.BPM","Ocontrib.1","OVORP.1","OVORP.Gm","D.BPM","Dcontrib.1","DVORP.1","DVORP.Gm","Production","Prod.Gm","Exp.BPM","TrueTalentBPM","Exp.Min","TrueTalentVORP","TrueSalary","TrueTimeVORP","Adjusted.Production","WORP","O.WORP","D.WORP","Adjusted.WORP","Estimated.Position","BBRef.Pos","Age.on.Feb.1","Yrs.Experience","Height","Weight","Rounded.Position","Rounded.Age","Age_factor","position_factor","MinPG","MinPG_factor","BPM_factor","Dcontri_factor"
"2",2,16285,"HOU","James Harden",25,81,2981,26.7,0.605,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,0,12.2,4.2,16.4,0.265,0,7.4,1,8.4,7.8,0.197,0.068,26.6,"hardeja01",4.01,19804,82,0.268,0.548,337012,0.531,4.39,1.24,0.56,1.78,1.33,8.74,"75.30%",6.58,6.44,-0.33,8.4,2.1,6.3,7.8,1.1,0.6,5.3,0.3,0.7,8.1,6.1,1.4,5.1,-0.7,2.6,7.4,1.4,5.6,6.9,1,1.5,0.8,1,6.4,0.8,36.8,35.1,8.4,6.3,7.8,7.9,7.4,5.6,6.9,6.9,1,0.8,1,1,"$38,000,000 ","$38,400,000 ",2.4,5.7,0.73,5.6,27300000,7.5,"$36,600,000 ",21.2,18.5,2.7,20.4,"1.8","2","25.44","5",77,"220","2","26","Young","SG",36.8024691358025,"Starter","Positive","Positive"
"3",3,16286,"MIN","Andrew Wiggins",19,82,2969,13.9,0.517,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,0,2.1,0,2.1,0.034,0,-0.5,-1.8,-2.3,-0.2,0.034,0,20,"wiggian01",-8.52,19787,82,0.268,0.517,341855,0.518,-0.99,-0.3,-0.09,-0.65,1.26,-0.68,"75.00%",-0.51,-2.34,-1.58,-2.3,2.1,-1.7,-0.2,0,0.2,-0.9,0,0.7,-0.1,0,-2.5,-0.8,-0.4,-6.1,-0.5,1.4,-0.4,0.9,-1.8,1.5,-1.3,-1.1,1.3,0.8,36.2,34.5,-2.3,-1.7,-0.2,-0.2,-0.5,-0.4,0.9,0.9,-1.8,-1.3,-1.1,-1.1,"$100,000 ","$100,000 ",0.5,-1,0.36,0.4,2700000,-0.1,"$600,000 ",-0.5,2.4,-3,-0.3,"2.6","2","19.94","0",80,"199","3","20","Rookie","SF",36.2073170731707,"Starter","Negative","Negative"
"4",4,16287,"HOU","Trevor Ariza",29,82,2930,12.7,0.539,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,0,2.7,3.9,6.6,0.108,0,0.6,1.3,1.9,2.9,0.044,0.064,14.4,"arizatr01",4.01,19804,82,0.268,0.548,337012,0.55,-0.99,0.65,0.06,1.37,1.21,2.24,"74.00%",1.66,6.44,-0.33,1.9,2.1,1.4,2.9,-0.7,0.4,0.6,0.4,0.6,1.3,1,1.4,5.1,-0.7,2.6,0.6,1.4,0.5,1.7,1.3,1.5,0.9,1.2,-0.6,0.7,35.7,34.1,1.9,1.4,2.9,2.9,0.6,0.5,1.7,1.7,1.3,0.9,1.2,1.2,"$14,700,000 ","$14,700,000 ",2.2,2.1,0.73,2.9,14900000,2.8,"$14,400,000 ",7.8,4.7,3.2,7.7,"2.9","3","29.59","10",80,"215","3","30","Vet","SF",35.7317073170732,"Starter","Positive","Positive"
"5",5,16288,"POR","Damian Lillard",24,82,2925,20.7,0.56,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,0,7.3,3.3,10.6,0.174,0,5,0,5.1,5.2,0.12,0.054,23.5,"lillada01",4.69,19856,82,0.268,0.544,347001,0.54,2.45,-0.48,0.37,0.24,1.2,3.42,"73.70%",2.52,-2.66,1.66,5.1,2.1,3.7,5.2,0.4,0.5,3.1,0.1,0.6,4.8,3.5,2.3,1.5,0.3,2.4,5,1.4,3.7,5,0,1.5,0,0.3,5,0.7,35.7,34,5.1,3.7,5.2,5.2,5,3.7,5,5,0,0,0.3,0.3,"$25,600,000 ","$25,600,000 ",2.3,3.8,0.73,4.2,20900000,5.1,"$25,200,000 ",14.1,13.4,0.7,13.9,"1.2","1","24.55","2",75,"195","1","25","Young","PG",35.6707317073171,"Starter","Positive","Negative"
"6",6,16289,"LAC","Chris Paul",29,82,2857,26,0.596,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,0,12.9,3.2,16.1,0.27,0,7.5,0,7.5,6.9,0.216,0.054,20.7,"paulch01",7.21,19730,82,0.268,0.565,348865,0.559,5.71,0.85,0.68,-1.2,1.1,6.46,"72.40%",4.68,3.45,1.04,7.5,2.1,5.4,6.9,1.5,0.6,3.6,0.5,0.6,6.8,5,6.9,5.2,0.6,0.3,7.5,1.4,5.4,6.6,0,1.5,0,0.3,7.4,0.7,34.8,33.2,7.5,5.4,6.9,6.9,7.5,5.4,6.6,6.6,0,0,0.3,0.3,"$33,500,000 ","$33,500,000 ",2.5,5.2,0.73,5.2,25700000,6.9,"$33,500,000 ",18.6,17.9,0.7,18.6,"1","1","29.74","9",72,"175","1","30","Vet","PG",34.8414634146341,"Starter","Positive","Negative"
"7",7,16290,"WAS","John Wall",24,79,2837,19.9,0.523,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,0,3.6,4.2,7.8,0.132,0,2.4,1.1,3.5,3.9,0.061,0.071,21.2,"walljo01",0.25,19956,82,0.268,0.534,343082,0.537,5.34,0.95,0.52,-4.64,1.22,2.87,"71.10%",2.04,-2.93,0.65,3.5,2.1,2.5,3.9,1.3,0.5,-0.1,0.3,0.6,2.7,1.9,-2.1,-1.1,-0.3,2.3,2.4,1.4,1.7,2.9,1.1,1.5,0.8,1,1.3,0.7,35.9,34.2,3.5,2.5,3.9,4.1,2.4,1.7,2.9,3,1.1,0.8,1,1,"$19,500,000 ","$20,200,000 ",1.7,2.7,0.73,3.4,1.7e+07,4,"$19,900,000 ",10.6,7.9,2.7,10.8,"1","1","24.41","4",76,"195","1","24","Young","PG",35.9113924050633,"Starter","Positive","Positive"
"8",8,16291,"LAC","DeAndre Jordan",26,82,2820,21,0.638,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,0,7.4,5.4,12.8,0.217,0,0.9,3.2,4.1,4.3,0.126,0.091,11.9,"jordade01",7.21,19730,82,0.268,0.565,348865,0.558,-2.79,1.88,-0.08,2.9,1.05,3.04,"71.50%",2.17,3.45,1.04,4.1,2.1,2.9,4.3,0,0.3,-0.3,-0.2,0.5,0.3,0.2,6.9,5.2,0.6,0.3,0.9,1.4,0.6,1.8,3.2,1.5,2.3,2.5,-2.3,0.7,34.4,32.8,4.1,2.9,4.3,4.3,0.9,0.6,1.8,1.8,3.2,2.3,2.5,2.5,"$21,500,000 ","$21,500,000 ",2.4,3.3,0.73,3.9,19200000,4.4,"$21,800,000 ",11.7,5,6.7,11.9,"5","5","26.53","6",83,"265","5","27","Mid","C",34.390243902439,"Starter","Positive","Positive"
"9",9,16292,"PHO","Eric Bledsoe",25,81,2800,18.4,0.555,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,0,4.1,2.9,7,0.119,0,1.7,0.9,2.6,3.3,0.07,0.049,19.4,"bledser01",-0.37,19879,82,0.268,0.537,342976,0.534,3.03,0.65,0.3,-2.2,1.07,2.55,"70.40%",1.79,-0.79,0.07,2.6,2.1,1.8,3.3,0.7,0.4,0,0.3,0.6,1.9,1.4,-0.5,0.5,-0.2,0.1,1.7,1.4,1.2,2.4,0.9,1.5,0.6,0.8,0.8,0.7,34.6,32.9,2.6,1.8,3.3,3.3,1.7,1.2,2.4,2.4,0.9,0.6,0.8,0.8,"$16,300,000 ","$16,500,000 ",1.4,2,0.73,2.9,14800000,3.3,"$16,800,000 ",8.8,6.5,2.3,9,"1","1","25.15","4",73,"190","1","25","Young","PG",34.5679012345679,"Starter","Positive","Positive"
"10",10,16293,"BRK","Joe Johnson",33,80,2791,14.1,0.523,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,0,2.6,1.5,4.1,0.07,0,0.9,-0.7,0.2,1.5,0.044,0.026,18,"johnsjo02",-3.31,19928,82,0.268,0.529,347023,0.529,0.32,-1.28,0.08,-0.12,1.1,0.02,"70.00%",0.01,-4.76,0.16,0.2,2.1,0.1,1.5,-0.3,0.3,0.5,-0.1,0.6,1,0.7,-1.3,-1.1,-0.1,-2,0.9,1.4,0.6,1.8,-0.7,1.5,-0.5,-0.3,1.6,0.7,34.9,33.2,0.2,0.1,1.5,1.6,0.9,0.6,1.8,1.9,-0.7,-0.5,-0.3,-0.3,"$8,200,000 ","$8,400,000 ",1,0.6,0.59,1.5,8100000,1.3,"$7,000,000 ",4.1,4.9,-0.8,3.5,"2.8","2","33.59","13",79,"240","3","34","Vet","SF",34.8875,"Starter","Positive","Negative"
"11",11,16294,"CLE","Kyrie Irving",22,75,2730,21.5,0.583,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,0,8.4,2,10.4,0.183,0,4.7,-1.4,3.3,3.7,0.148,0.035,23.1,"irvinky01",4.39,19779,82,0.268,0.557,342773,0.551,1.01,0.21,0.29,0.34,1.27,2.82,"69.00%",1.95,2.75,0.5,3.3,2.1,2.3,3.7,0.3,0.5,2.6,0.2,0.7,4.3,2.9,5.5,4.5,0.4,-1.1,4.7,1.4,3.2,4.4,-1.4,1.5,-0.9,-0.7,6.1,0.7,36.4,34.6,3.3,2.3,3.7,4,4.7,3.2,4.4,4.8,-1.4,-0.9,-0.7,-0.8,"$18,300,000 ","$20,000,000 ",2.4,2.9,0.73,3.5,17700000,3.9,"$19,200,000 ",9.9,11.9,-2,10.4,"1.1","1","22.86","3",75,"193","1","23","Rookie","PG",36.4,"Starter","Positive","Negative"
"12",12,16295,"DAL","Monta Ellis",29,80,2699,16.5,0.509,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,0,1.4,2.2,3.6,0.065,0,0.7,-0.7,-0.1,1.3,0.025,0.04,24.6,"ellismo01",3.64,19881,82,0.268,0.55,350251,0.559,-0.56,1.07,0.02,-2.84,0.97,-1.37,"67.90%",-0.93,-2.3,1.33,0,2.1,0,1.3,-0.3,0.2,-0.9,0.4,0.5,0,0,4.1,1.4,0.7,-0.4,0.7,1.4,0.5,1.6,-0.7,1.5,-0.5,-0.3,1.4,0.7,33.7,32.1,0,0,1.3,1.4,0.7,0.5,1.6,1.7,-0.7,-0.5,-0.3,-0.3,"$7,300,000 ","$7,400,000 ",1.8,0.8,0.62,1.7,9200000,1.2,"$6,800,000 ",3.6,4.4,-0.8,3.3,"1","2","29.27","9",75,"185","1","29","Vet","PG",33.7375,"Starter","Negative","Negative"
"13",13,16296,"NOP","Tyreke Evans",25,79,2690,17.7,0.508,0.25,3.5,14.1,8.8,32.7,2,1,16,26.1,0,2.4,2.2,4.6,0.082,0,1.7,0.1,1.9,2.6,0.043,0.039,21.9,"evansty01",1.16,19782,82,0.268,0.537,346147,0.544,4.35,0.17,0.25,-3.82,1,1.7,"68.00%",1.15,0.45,0.19,1.9,2.1,1.3,2.6,1.2,0.3,-0.8,0.2,0.5,1.4,1,2.6,1.5,0.3,-1.4,1.7,1.4,1.2,2.3,0.1,1.5,0.1,0.3,1.6,0.7,34.1,32.4,1.9,1.3,2.6,2.7,1.7,1.2,2.3,2.4,0.1,0.1,0.3,0.3,"$13,500,000 ","$13,900,000 ",1.5,1.7,0.73,2.7,13600000,2.8,"$14,300,000 ",7.1,6.3,0.8,7.6,"2.1","3","25.37","5",78,"220","2","25","Young","SG",34.0506329113924,"Starter","Positive","Positive"
"14",14,16297,"MEM","Marc Gasol",30,81,2687,21.7,0.558,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,0,5.5,4.7,10.2,0.182,0,1.3,3.5,4.8,4.6,0.098,0.084,21.6,"gasolma01",3.94,19904,82,0.268,0.531,348101,0.526,2.83,1.01,0.11,-0.97,0.9,3.78,"67.50%",2.55,-0.24,0.99,4.8,2.1,3.2,4.6,0.5,0.3,0.2,-0.2,0.5,1.3,0.9,-0.1,-0.1,0,4,1.3,1.4,0.9,2,3.5,1.5,2.3,2.5,-2.2,0.7,33.2,31.6,4.8,3.2,4.6,4.6,1.3,0.9,2,2,3.5,2.3,2.5,2.6,"$22,600,000 ","$22,800,000 ",1.7,3.4,0.73,3.9,19300000,4.9,"$24,200,000 ",12.3,5.5,6.9,13.3,"5","5","30.01","6",85,"255","5","30","Vet","C",33.1728395061728,"Starter","Positive","Positive"
"15",15,16298,"CHI","Pau Gasol",34,78,2681,22.7,0.55,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,0,6,4.4,10.4,0.187,0,0.7,2.1,2.8,3.2,0.108,0.079,22.1,"gasolpa01",2.88,19881,82,0.268,0.536,346370,0.533,2.56,-0.12,-0.01,-0.85,1.04,2.63,"67.40%",1.77,2.65,0.16,2.8,2.1,1.9,3.2,0.8,0.2,-0.2,-0.5,0.5,0.9,0.6,2,3.1,-0.1,0.9,0.7,1.4,0.5,1.6,2,1.5,1.4,1.6,-1.3,0.7,34.4,32.7,2.8,1.9,3.2,3.4,0.7,0.5,1.6,1.7,2,1.4,1.6,1.7,"$16,200,000 ","$17,000,000 ",1.8,2.3,0.73,3.1,15800000,3.5,"$17,400,000 ",8.7,4.4,4.3,9.4,"5","4","34.57","13",84,"250","5","35","Vet","C",34.3717948717949,"Starter","Positive","Positive"
"16",16,16299,"SAC","Ben McLemore",21,82,2670,10.4,0.552,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,0,1.7,0.8,2.5,0.045,0,0.4,-1.3,-0.8,0.8,0.031,0.014,14.9,"mclembe01",-3.27,19855,82,0.268,0.542,338426,0.54,-2.63,-0.67,0.01,1.59,0.83,-0.88,"67.20%",-0.59,-4.06,0.03,-0.9,2.1,-0.6,0.8,-1.1,0.3,0.3,0,0.4,0,0,-0.2,-2.2,0.4,-3.1,0.4,1.4,0.3,1.4,-1.3,1.5,-0.8,-0.6,1.7,0.7,32.6,31,-0.9,-0.6,0.8,0.8,0.4,0.3,1.4,1.4,-1.3,-0.8,-0.6,-0.6,"$4,600,000 ","$4,600,000 ",0.5,-0.2,0.48,0.9,5e+06,0.5,"$3,600,000 ",2.1,3.8,-1.7,1.5,"1.9","2","21.97","1",77,"195","2","22","Rookie","SG",32.5609756097561,"Starter","Negative","Negative"
"17",17,16300,"DEN","Ty Lawson",27,75,2665,18.5,0.526,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,0,6,1,7,0.126,0,2.7,-2.1,0.5,1.7,0.108,0.018,17.6,"lawsoty01",-3.07,19881,82,0.268,0.518,347248,0.516,3.04,-0.58,0.52,-3.25,1.16,0.37,"67.00%",0.25,-4.49,0.16,0.5,2.1,0.4,1.7,0.8,0.5,1,0.1,0.6,3,2,-1.3,0.4,-0.4,-1.8,2.7,1.4,1.8,2.9,-2.1,1.5,-1.4,-1.2,4.8,0.7,35.5,33.7,0.5,0.4,1.7,1.9,2.7,1.8,2.9,3.2,-2.1,-1.4,-1.2,-1.3,"$9,000,000 ","$9,800,000 ",1.1,0.8,0.63,1.8,9300000,1.6,"$8,500,000 ",4.6,7.9,-3.3,4.3,"1","1","27.25","5",71,"195","1","27","Mid","PG",35.5333333333333,"Starter","Positive","Negative"
"18",18,16301,"UTA","Gordon Hayward",24,76,2618,20.2,0.567,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,0,5.8,2.9,8.7,0.159,0,3.3,0.1,3.4,3.6,0.106,0.053,22.6,"haywago01",0.79,19705,82,0.268,0.531,336440,0.524,1.6,0.37,0.25,0.22,1.04,3.22,"66.40%",2.14,0.25,0.14,3.4,2.1,2.2,3.6,0.1,0.5,2,0.2,0.5,3.4,2.3,-0.2,0.3,-0.1,1,3.3,1.4,2.2,3.3,0.1,1.6,0.1,0.3,3.2,0.7,34.4,32.7,3.4,2.2,3.6,3.8,3.3,2.2,3.3,3.6,0.1,0.1,0.3,0.3,"$17,800,000 ","$19,100,000 ",1.5,2.5,0.73,3.3,16400000,3.9,"$19,300,000 ",9.6,8.9,0.7,10.5,"2.8","3","24.86","4",80,"226","3","25","Young","SF",34.4473684210526,"Starter","Positive","Positive"
"19",19,16302,"GSW","Stephen Curry",26,80,2613,28,0.638,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,0,11.5,4.1,15.7,0.288,0,9.6,0.3,9.9,7.9,0.212,0.076,24.8,"curryst01",10.23,19730,82,0.268,0.572,342913,0.556,4.25,1.16,0.67,2.33,0.84,8.57,"66.20%",5.68,5.81,1.29,9.9,2.1,6.5,7.9,1.2,0.7,6.3,0.5,0.4,9.1,6,5.5,4.4,0.4,4.8,9.6,1.4,6.3,7.5,0.3,1.6,0.2,0.4,9.2,0.7,32.7,31.1,9.9,6.5,7.9,8.1,9.6,6.3,7.5,7.6,0.3,0.2,0.4,0.4,"$38,100,000 ","$39,000,000 ",2.5,6.5,0.73,6.1,29900000,8.6,"$41,600,000 ",21.2,20.1,1.1,23.2,"1","1","26.89","5",75,"185","1","27","Mid","PG",32.6625,"Starter","Positive","Positive"
"20",20,16303,"DET","Kentavious Caldwell-Pope",21,82,2587,11.2,0.501,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,0,1.1,1.8,2.8,0.052,0,-0.2,-0.9,-1,0.6,0.02,0.032,17.9,"caldwke01",-1.54,19827,82,0.268,0.515,348020,0.517,-3,-0.22,-0.07,1.62,0.71,-0.89,"65.20%",-0.58,-1.14,-0.14,-1,2.1,-0.7,0.6,-1.2,0.3,0.8,0.1,0.4,0.5,0.3,-0.2,2.8,-0.6,-1.3,-0.2,1.4,-0.1,1,-0.9,1.6,-0.6,-0.4,0.7,0.7,31.5,30.1,-1,-0.7,0.6,0.6,-0.2,-0.1,1,1,-0.9,-0.6,-0.4,-0.4,"$4,000,000 ","$4,000,000 ",0.6,-0.3,0.47,0.8,4800000,0.5,"$3,100,000 ",1.7,2.7,-1,1.2,"2.1","2","21.95","1",77,"205","2","22","Rookie","SG",31.5487804878049,"Starter","Negative","Negative"
"21",21,16304,"PHO","Markieff Morris",25,82,2581,15.8,0.523,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,0,1.8,2.7,4.6,0.085,0,-0.7,0.5,-0.2,1.2,0.034,0.051,20.4,"morrima02",-0.37,19879,82,0.268,0.537,342976,0.54,0.09,0.27,-0.07,-1.31,0.71,-0.24,"64.90%",-0.15,-0.79,0.07,-0.2,2.1,-0.1,1.2,-0.2,0.2,-1,0.1,0.4,-0.5,-0.3,-0.5,0.5,-0.2,0.1,-0.7,1.4,-0.4,0.7,0.5,1.6,0.3,0.5,-1.2,0.6,31.5,30,-0.2,-0.1,1.2,1.2,-0.7,-0.4,0.7,0.7,0.5,0.3,0.5,0.5,"$6,600,000 ","$6,600,000 ",0.7,0.3,0.54,1.2,6800000,1,"$5,700,000 ",3.2,1.8,1.4,2.7,"3.9","4","25.42","3",82,"245","4","25","Young","PF",31.4756097560976,"Starter","Negative","Positive"
"22",22,16305,"ORL","Victor Oladipo",22,72,2573,15.9,0.527,0.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,0,1.5,2,3.5,0.065,0,0.5,-0.5,0,1.3,0.028,0.037,21.6,"oladivi01",-6.23,19755,82,0.268,0.525,339398,0.524,0.51,0.46,0.11,-1.43,1.18,0.72,"65.10%",0.47,-3.81,-0.73,0,2.1,0,1.3,-0.1,0.3,-0.1,0.3,0.6,1.1,0.7,-4.1,-1.8,-0.6,-2.1,0.5,1.4,0.3,1.4,-0.5,1.6,-0.3,-0.1,0.9,0.7,35.7,33.9,0,0,1.3,1.5,0.5,0.3,1.4,1.6,-0.5,-0.3,-0.1,-0.1,"$7,100,000 ","$8,000,000 ",0.7,0.3,0.55,1.3,7100000,1.1,"$6,200,000 ",3.5,3.8,-0.3,3,"1.7","2","22.75","1",76,"210","2","23","Rookie","SG",35.7361111111111,"Starter","Positive","Negative"
"23",23,16306,"MIL","Giannis Antetokounmpo",20,81,2541,14.8,0.552,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,0,2.2,4,6.2,0.117,0,-1.7,2.1,0.5,1.6,0.041,0.076,16.5,"antetgi01",-0.16,19929,82,0.268,0.536,336983,0.534,0.49,0.5,-0.02,-0.9,0.69,0.77,"63.80%",0.49,1.29,-0.3,0.5,2.1,0.3,1.6,-0.2,0.2,-1.4,-0.1,0.4,-1.1,-0.7,-3.1,-0.8,-0.6,3,-1.7,1.4,-1.1,0,2.1,1.6,1.4,1.6,-3.8,0.6,31.4,29.9,0.5,0.3,1.6,1.6,-1.7,-1.1,0,0,2.1,1.4,1.6,1.6,"$8,400,000 ","$8,500,000 ",0.7,0.6,0.59,1.5,8300000,1.5,"$7,900,000 ",4.3,0,4.2,4,"4","2","20.16","1",83,"222","4","20","Rookie","PF",31.3703703703704,"Starter","Positive","Positive"
"24",24,16307,"CLE","Kevin Love",26,75,2532,18.8,0.562,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,0,5.8,2.9,8.7,0.165,0,2,-0.1,1.9,2.5,0.11,0.055,19.5,"loveke01",4.39,19779,82,0.268,0.557,342773,0.556,0.22,-0.98,0.02,1.17,0.96,1.37,"64.00%",0.87,2.75,0.5,1.9,2.1,1.2,2.5,-0.3,0.3,1.2,-0.2,0.5,1.6,1,5.5,4.5,0.4,-1.1,2,1.4,1.3,2.4,-0.1,1.6,-0.1,0.1,2.1,0.6,33.8,32.1,1.9,1.2,2.5,2.7,2,1.3,2.4,2.6,-0.1,-0.1,0.1,0.1,"$12,700,000 ","$13,800,000 ",1.9,1.9,0.73,2.8,14200000,2.8,"$14,200,000 ",6.7,6.4,0.3,7.6,"4.5","4","26.4","6",82,"251","4","26","Mid","PF",33.76,"Starter","Positive","Negative"
"25",25,16308,"ORL","Nikola Vucevic",24,74,2529,21.5,0.548,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,0,4.5,2.5,7,0.133,0,0.7,-0.1,0.5,1.6,0.085,0.048,23.3,"vucevni01",-6.23,19755,82,0.268,0.525,339398,0.52,1.3,-0.59,-0.05,-0.48,1,1.24,"64.00%",0.79,-3.81,-0.73,0.5,2.1,0.3,1.6,0.7,0.2,0,-0.2,0.5,1.3,0.8,-4.1,-1.8,-0.6,-2.1,0.6,1.4,0.4,1.5,-0.1,1.6,-0.1,0.1,0.8,0.6,34.2,32.4,0.5,0.3,1.6,1.8,0.6,0.4,1.5,1.7,-0.1,-0.1,0.1,0.1,"$8,600,000 ","$9,400,000 ",0.4,0.5,0.57,1.4,7700000,1.4,"$7,800,000 ",4.3,4,0.3,3.9,"5","5","24.27","3",84,"260","5","24","Young","C",34.1756756756757,"Starter","Positive","Negative"
"26",26,16309,"CHI","Jimmy Butler",25,65,2513,21.3,0.583,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,0,8.2,3,11.2,0.214,0,4.1,0.6,4.7,4.2,0.157,0.057,19.9,"butleji01",2.88,19881,82,0.268,0.536,346370,0.528,0.56,0.54,0.12,1.95,1.5,4.54,"63.20%",2.87,2.65,0.16,4.7,2.1,3,4.2,0.4,0.4,2.4,0.3,0.8,4.2,2.7,2,3.1,-0.1,0.9,4.1,1.4,2.6,3.6,0.6,1.6,0.4,0.6,3.4,0.6,38.7,36.4,4.7,3,4.2,5.3,4.1,2.6,3.6,4.6,0.6,0.4,0.6,0.7,"$21,000,000 ","$26,200,000 ",2.6,3.7,0.73,4.1,20500000,4.9,"$23,900,000 ",11.4,9.8,1.6,13.1,"2.7","2","25.38","3",79,"220","3","25","Young","SF",38.6615384615385,"Starter","Positive","Positive"
"27",27,16310,"POR","LaMarcus Aldridge",29,71,2512,22.8,0.528,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,0,4.9,3.7,8.6,0.165,0,0.3,0,0.3,1.4,0.094,0.071,28,"aldrila01",4.69,19856,82,0.268,0.544,347001,0.548,-0.12,-0.61,-0.15,-1.78,1.13,-1.38,"63.30%",-0.87,-2.66,1.66,0.3,2.1,0.2,1.4,0,0.1,-0.4,-0.2,0.6,0,0,2.3,1.5,0.3,2.4,0.3,1.4,0.2,1.3,0,1.6,0,0.2,0.3,0.6,35.4,33.5,0.3,0.2,1.4,1.7,0.3,0.2,1.3,1.5,0,0,0.2,0.2,"$7,800,000 ","$8,900,000 ",2.2,1.2,0.68,2.2,11200000,1.5,"$8,300,000 ",3.9,3.4,0.5,4.2,"4.6","4","29.54","8",83,"240","5","30","Vet","C",35.3802816901408,"Starter","Positive","Negative"
"28",28,16311,"DET","Andre Drummond",21,82,2502,21.4,0.504,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,0,3.4,4.3,7.7,0.147,0,-1.2,1.1,-0.2,1.2,0.065,0.082,19.9,"drumman01",-1.54,19827,82,0.268,0.515,348020,0.517,-1.59,1.56,-0.25,-0.59,0.59,-0.03,"63.10%",-0.02,-1.14,-0.14,-0.2,2.1,-0.1,1.2,0.9,0.1,-1.7,-0.2,0.3,-0.6,-0.4,-0.2,2.8,-0.6,-1.3,-1.2,1.4,-0.8,0.3,1.1,1.6,0.7,0.9,-2.3,0.6,30.5,29.1,-0.2,-0.1,1.2,1.2,-1.2,-0.8,0.3,0.3,1.1,0.7,0.9,0.9,"$6,500,000 ","$6,500,000 ",0.4,0.1,0.52,1.1,6100000,1,"$5,500,000 ",3.1,0.8,2.3,2.6,"5","5","21.48","2",83,"279","5","22","Rookie","C",30.5121951219512,"Starter","Negative","Positive"
"29",29,16312,"CLE","LeBron James",30,69,2493,25.9,0.577,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,0,7.4,2.9,10.4,0.199,0,6.2,1.2,7.4,5.9,0.143,0.056,27.4,"jamesle01",4.39,19779,82,0.268,0.557,342773,0.552,5.5,0.86,0.49,-0.66,1.22,6.92,"63.00%",4.36,2.75,0.5,7.4,2.1,4.7,5.9,1.3,0.5,3.1,0.2,0.6,5.8,3.7,5.5,4.5,0.4,-1.1,6.2,1.4,3.9,5,1.2,1.6,0.8,0.9,5,0.6,36.1,34.2,7.4,4.7,5.9,7.1,6.2,3.9,5,5.9,1.2,0.8,0.9,1.1,"$29,000,000 ","$34,300,000 ",2.3,5,0.73,5.1,25100000,6.8,"$33,200,000 ",16,13.5,2.5,18.4,"2.8","3","30.09","11",80,"250","3","30","Vet","SF",36.1304347826087,"Starter","Positive","Positive"
