"","X.1","X","Tm","Player","Age","G","MP","PER","TS.","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.",".","OWS","DWS","WS","WS.48","..1","OBPM","DBPM","BPM","VORP","OWS.48","DWS.48","Shot.","Player.ID","Team.Mar","Team.MP","Team.Gm","Year.3PAr","Team.TS.","Tm.USG","Tm.TS.W.O.Plyr","Reb.Vers","Defense","Val.Shot","Offense","MPG...Int","RAW.SPM","X.Min","RAW.Contrib","Tm.Sum","Tm.Adj","BPM.1","StdErr","Contrib","VORP.1","Reb.Vers.1","Val.Shot.1","Offense.1","Defense.1","MPG","Raw.OBPM","Contrib.1","Tm.Ortg","Tm.Sum.1","Tm.Adj.1","Tm.DRtg","OBPM.1","OStdErr","Ocontrib","OVORP","DBPM.1","DStdErr","Dcontrib","DVORP","Sum.SPM","X.Min.1","MPG.1","ReMPG","BPM.2","Contrib.2","VORP.2","VORP.Gm","O.BPM","Ocontrib.1","OVORP.1","OVORP.Gm","D.BPM","Dcontrib.1","DVORP.1","DVORP.Gm","Production","Prod.Gm","Exp.BPM","TrueTalentBPM","Exp.Min","TrueTalentVORP","TrueSalary","TrueTimeVORP","Adjusted.Production","WORP","O.WORP","D.WORP","Adjusted.WORP","Estimated.Position","BBRef.Pos","Age.on.Feb.1","Yrs.Experience","Height","Weight","Rounded.Position","Rounded.Age","Age_factor","position_factor","MinPG","MinPG_factor","BPM_factor","Dcontri_factor"
"492",492,16775,"HOU","Troy Daniels",23,17,108,4.5,0.472,0.085,0,6.1,3.1,5.9,0,0,9.3,21.6,0,-0.1,0,0,-0.013,0,-2.4,-5.8,-8.2,-0.2,-0.029,0.016,19.6,"danietr01",4.01,19804,82,0.268,0.548,337012,0.549,-4.07,-2.88,-0.07,1.43,-2.36,-7.87,"2.70%",-0.21,6.44,-0.33,-8.2,4,-0.2,-0.2,-1.7,0.3,1.4,-0.5,-1.2,-1.7,0,1.4,5.1,-0.7,2.6,-2.4,2.7,-0.1,0,-5.8,2.9,-0.2,-0.2,3.5,0,6.4,5.1,-8.2,-0.2,-0.2,-0.8,-2.4,-0.1,0,-0.1,-5.8,-0.2,-0.2,-0.7,"$200,000 ","($2,800,000)",-3.9,-4.9,0,0,NA,0,"",-0.5,0,-0.4,0,"1.7","2","23.55","1",76,"205","2","24","Young","SG",6.35294117647059,"DNP","Negative","Negative"
"493",493,16776,"IND","Shayne Whittington",23,20,108,20,0.547,0.548,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,0,0.3,0.2,0.4,0.2,0,0.5,0,0.5,0.1,0.122,0.078,21.8,"whittsh01",-0.14,19855,82,0.268,0.524,345392,0.523,0.72,0.94,-0.04,0.63,-2.44,-0.16,"2.70%",0,-3.37,0.64,0.5,4,0,0.1,0.9,0.3,0.8,0.3,-1.3,0.9,0,-2.1,-0.4,-0.4,2,0.5,2.7,0,0.1,0,2.9,0,0,0.5,0,5.4,4.5,0.5,0,0.1,0.3,0.5,0,0.1,0.2,0,0,0,0,"$1,300,000 ","$2,300,000 ",-4.6,-3.4,0.02,0,9e+05,0,"$1,200,000 ",0.2,0.2,0,0.1,"4.6","4","23.85","0",83,"250","5","24","Young","C",5.4,"DNP","Positive","Negative"
"494",494,16777,"SAS","Reggie Williams",28,20,105,10.5,0.454,0.103,5.5,12.7,9.2,14.4,0.5,0,4.7,18.5,0,0.1,0.1,0.2,0.083,0,-0.5,-2.2,-2.7,0,0.042,0.042,17.6,"willire02",6.79,19955,82,0.268,0.555,346961,0.555,0.84,-2.25,-0.11,-0.41,-2.46,-4.27,"2.60%",-0.11,0.49,1.53,-2.7,4,-0.1,0,0.5,0.2,0,-0.3,-1.3,-1,0,2.6,1.1,0.4,4.1,-0.5,2.7,0,0,-2.2,3,-0.1,-0.1,1.7,0,5.3,4.4,-2.7,-0.1,0,-0.1,-0.5,0,0,0.1,-2.2,-0.1,-0.1,-0.2,"$900,000 ","$600,000 ",-3.6,-3.4,0.01,0,9e+05,0,"$1,000,000 ",-0.1,0.1,-0.1,0,"2.3","3","28.38","5",78,"205","2","28","Mid","SG",5.25,"DNP","Negative","Negative"
"495",495,16778,"NOP","Nate Wolters",23,10,105,3.5,0.316,0.077,6.5,13,9.7,14.8,1.5,1.4,27.1,16,0,-0.3,0.1,-0.2,-0.109,0,-7.4,0.3,-7.1,-0.1,-0.146,0.037,11.7,"woltena01",1.16,19782,82,0.268,0.537,346147,0.538,1.26,-0.25,-0.46,-6.24,-2.07,-7.3,"2.70%",-0.19,0.45,0.19,-7.1,4,-0.2,-0.1,0.8,-0.2,-7.1,0,-1.1,-7.7,-0.2,2.6,1.5,0.3,-1.4,-7.4,2.7,-0.2,-0.2,0.3,3,0,0,-7.6,0,10.5,7.5,-7.1,-0.2,-0.1,-1.1,-7.4,-0.2,-0.2,-1.2,0.3,0,0,0.1,"$400,000 ","($4,300,000)",-3.8,-4.6,0,0,NA,0,"",-0.4,-0.4,0,0,"1.8","1","23.72","1",76,"190","2","24","Young","SG",10.5,"DNP","Negative","Negative"
"496",496,16779,"MIL","Kenyon Martin",37,11,104,10,0.437,0.091,6.7,14.2,10.5,7,2.5,4.9,11.6,11.2,0,0,0.2,0.2,0.086,0,-4.4,3.6,-0.8,0,-0.003,0.089,9.9,"martike01",-0.16,19929,82,0.268,0.536,336983,0.536,-1.37,2.87,-0.37,0.16,-2.14,-0.49,"2.60%",-0.01,1.29,-0.3,-0.8,4.1,0,0,-0.1,-0.1,-2.7,0.1,-1.1,-3.8,-0.1,-3.1,-0.8,-0.6,3,-4.4,2.7,-0.1,-0.1,3.6,3,0.1,0.1,-8.1,0,9.5,6.9,-0.8,0,0,0.2,-4.4,-0.1,-0.1,-0.5,3.6,0.1,0.1,0.8,"$1,100,000 ","$2,100,000 ",-4.1,-3.3,0.03,0,8e+05,0,"$1,100,000 ",0.1,-0.2,0.3,0.1,"3.8","4","37.09","14",81,"234","4","37","Vet","PF",9.45454545454546,"DNP","Negative","Positive"
"497",497,16780,"LAC","Chris Douglas-Roberts",28,12,103,3.3,0.387,0.381,1.1,11.8,6.6,5,0.5,0,0,10.7,0,0,0.1,0,0.02,0,-4.4,-1.6,-6.1,-0.1,-0.013,0.033,10.7,"douglch01",7.21,19730,82,0.268,0.565,348865,0.566,-3.73,-2.25,-0.47,1.04,-2.2,-7.14,"2.60%",-0.19,3.45,1.04,-6.1,4.1,-0.2,-0.1,-1.7,-0.1,-1.8,-0.3,-1.2,-5.1,-0.1,6.9,5.2,0.6,0.3,-4.5,2.7,-0.1,-0.1,-1.6,3,0,0,-2.8,0,8.6,6.4,-6.1,-0.2,-0.1,-0.7,-4.5,-0.1,-0.1,-0.5,-1.6,0,0,-0.2,"$500,000 ","($2,500,000)",-3.1,-3.8,0,0,NA,0,"",-0.3,-0.2,-0.1,0,"2.5","2","28.07","5",79,"200","2","28","Mid","SG",8.58333333333333,"DNP","Negative","Negative"
"498",498,16781,"PHO","Shavlik Randolph",31,16,101,6.1,0.289,0.4,12.9,15.3,14.1,4,2,1.5,6.4,13.7,0,-0.1,0.1,0,-0.008,0,-5.4,-0.1,-5.5,-0.1,-0.052,0.044,12.8,"randosh01",-0.37,19879,82,0.268,0.537,342976,0.538,-1.57,0.43,-0.68,-2.07,-2.37,-5.58,"2.50%",-0.14,-0.79,0.07,-5.5,4.1,-0.1,-0.1,0.8,-0.3,-4.6,0.1,-1.2,-5.2,-0.1,-0.5,0.5,-0.2,0.1,-5.4,2.7,-0.1,-0.1,-0.1,3,0,0,-5.3,0,6.3,5.1,-5.5,-0.1,-0.1,-0.5,-5.4,-0.1,-0.1,-0.5,-0.1,0,0,0,"$600,000 ","($1,200,000)",-4.5,-4.8,0,0,NA,0,"",-0.2,-0.3,0,0,"4.3","4","31.19","7",82,"240","4","31","Vet","PF",6.3125,"DNP","Negative","Negative"
"499",499,16782,"LAC","C.J. Wilcox",24,21,101,8.5,0.527,0.053,1.1,6.5,3.9,12,1.5,0.8,20.5,21.8,0,-0.1,0.1,0,-0.024,0,-3.3,-2.7,-6,-0.1,-0.06,0.036,17.3,"wilcocj01",7.21,19730,82,0.268,0.565,348865,0.566,-2.13,-0.57,-0.02,-1.88,-2.5,-7.08,"2.60%",-0.18,3.45,1.04,-6,4.1,-0.2,-0.1,-0.9,0.3,-2,0,-1.3,-3.9,-0.1,6.9,5.2,0.6,0.3,-3.3,2.7,-0.1,0,-2.7,3,-0.1,-0.1,-0.5,0,4.8,4,-6,-0.2,-0.1,-0.4,-3.3,-0.1,0,-0.2,-2.7,-0.1,-0.1,-0.2,"$500,000 ","($900,000)",-3.7,-4.2,0,0,NA,0,"",-0.3,-0.1,-0.2,0,"1.7","2","24.09","0",77,"195","2","24","Young","SG",4.80952380952381,"DNP","Negative","Negative"
"500",500,16783,"MIN","Kevin Garnett",38,5,98,19.3,0.58,0.129,2.3,28.9,15.2,14.3,2.6,3.2,3,15.2,0,0.2,0.1,0.3,0.161,0,-0.2,1.7,1.4,0.1,0.105,0.056,14.7,"garneke01",-8.52,19787,82,0.268,0.517,341855,0.517,0.36,2.09,0.09,2.22,-1.65,3.02,"2.50%",0.07,-2.34,-1.58,1.4,4.1,0,0.1,-1.1,0.3,1.6,0.2,-0.9,0.2,0,-2.5,-0.8,-0.4,-6.1,-0.3,2.8,0,0,1.7,3,0,0,-2,0,19.6,10.9,1.4,0,0.1,1.4,-0.3,0,0,0.6,1.7,0,0,0.8,"$1,400,000 ","$7,600,000 ",-4.5,-3.1,0.06,-0.1,7e+05,0.2,"$1,900,000 ",0.2,0.1,0.1,0.5,"4.5","4","38.71","19",83,"240","4","39","Vet","PF",19.6,"Bench","Positive","Negative"
"501",501,16784,"BRK","Earl Clark",27,10,93,6.7,0.425,0.133,1.2,26.5,13.9,5,1.7,3.5,15.9,18.5,0,-0.2,0.1,-0.1,-0.037,0,-6.6,0.5,-6.1,-0.1,-0.096,0.059,15.6,"clarkea01",-3.31,19928,82,0.268,0.529,347023,0.529,-4.06,1.12,-0.28,-1.18,-2.18,-6.3,"2.30%",-0.15,-4.76,0.16,-6.1,4.2,-0.1,-0.1,-2.7,0.1,-2.8,-0.1,-1.1,-6.5,-0.2,-1.3,-1.1,-0.1,-2,-6.6,2.8,-0.2,-0.1,0.5,3.1,0,0,-7.1,0,9.3,6.6,-6.1,-0.1,-0.1,-0.8,-6.6,-0.2,-0.1,-0.9,0.5,0,0,0.1,"$500,000 ","($2,700,000)",-4.6,-5,0,0,NA,0,"",-0.3,-0.3,0,0,"4.2","4","27.04","5",82,"225","4","27","Mid","PF",9.3,"DNP","Negative","Negative"
